,covid-555-1_NonVent,covid-555-2_Vent,covid-556_NonVent,covid-557_Vent,covid-558_Vent,covid-559_NonVent,covid-560_Vent,covid-561_NonVent
AC022182.3,10,18,7,44,13,25,3,13
AC022311.1,4,4,2,4,4,4,2,10
AC022431.3,2,4,1,1,0,1,1,5
AC022498.1,5,4,0,6,5,3,8,5
AC022532.1,5,6,1,11,3,1,5,7
AC022816.2,2,1,0,2,0,0,1,4
AC022819.3,5,2,2,9,4,0,6,12
AC023115.1,1,1,1,2,0,0,3,1
AC023115.2,1,0,0,3,0,0,0,2
AC023128.1,0,2,0,1,1,1,1,4
AC023347.1,1,0,1,3,0,3,0,2
AC023481.1,0,2,0,2,1,1,0,3
AC023490.1,24,30,4,27,14,7,9,23
AC023590.1,5,5,4,7,4,6,4,4
AC023632.1,21,13,18,21,4,6,6,11
AC024132.1,2,1,0,5,4,2,4,6
AC024257.1,2,9,0,3,1,1,2,4
AC024560.2,3,2,0,1,1,2,1,1
AC024580.1,1,1,0,0,1,3,1,0
AC024592.9,0,0,2,0,0,0,2,0
AC024704.2,1,3,2,3,0,1,0,1
AC024940.1,3,7,4,11,3,7,2,2
AC025171.1,58,76,38,145,65,41,28,55
AC025278.1,2,2,0,4,0,1,0,1
AC025335.1,15,33,6,45,12,16,9,14
AC025442.3,1,1,0,1,1,3,0,1
AC025918.2,2,3,6,5,1,3,1,1
AC026150.5,1,0,1,8,4,0,0,2
AC026150.8,11,20,13,60,10,14,8,10
AC026188.1,1,0,1,4,0,0,0,2
AC026202.3,5,12,5,10,25,7,2,1
AC026310.1,5,4,0,3,2,3,4,5
AC026740.1,0,10,6,9,2,6,0,4
AC026806.2,26,53,7,73,25,19,10,36
AC026904.1,2,1,0,5,3,1,1,3
AC027228.1,1,2,3,2,1,1,2,4
AC027307.3,9,14,10,20,5,11,8,13
AC027601.1,8,4,4,4,1,1,0,2
AC027763.2,18,48,18,77,28,21,18,35
AC034110.1,7,3,3,2,2,1,5,9
AC034220.3,3,6,8,26,3,16,2,3
AC034243.1,4,1,1,3,4,0,1,4
AC046143.3,5,4,6,14,0,3,1,5
AC053503.4,1,3,0,2,0,0,1,1
AC055764.1,1,2,0,2,1,1,0,1
AC061992.2,15,16,5,23,4,7,13,26
AC062017.1,15,16,5,37,7,10,5,10
AC062028.1,1,2,0,10,2,0,1,0
AC062029.1,36,42,48,62,22,41,16,40
AC064834.1,1,1,0,1,2,1,1,0
AC064834.2,2,4,3,7,5,1,1,4
AC064834.3,1,2,0,2,0,1,1,1
AC064871.3,1,0,0,2,0,1,0,4
AC064875.2,1,2,0,3,1,0,2,2
AC067945.2,1,2,1,4,0,1,2,2
AC067945.4,10,6,3,12,2,5,2,1
AC067956.1,2,1,0,1,0,3,0,2
AC068039.4,7,13,6,23,0,8,3,3
AC068282.3,7,11,0,5,3,0,2,6
AC068491.2,0,0,2,2,1,0,0,2
AC068499.10,3,5,1,4,0,0,0,1
AC068538.4,0,1,0,3,0,0,0,1
AC068580.6,1,1,0,3,1,1,4,3
AC068610.3,3,2,2,4,0,1,2,5
AC068620.1,11,5,4,15,5,5,3,6
AC068831.10,4,9,2,14,3,5,1,6
AC068831.6,7,18,7,17,15,10,3,7
AC069277.2,2,2,0,2,0,0,2,4
AC069278.4,5,15,3,16,6,7,7,3
AC069363.1,7,1,3,2,0,5,0,0
AC069513.4,5,1,2,9,6,1,3,2
AC069547.1,13,13,6,20,3,7,9,13
AC069547.2,7,16,1,22,4,10,6,8
AC072062.1,7,3,1,5,7,1,4,9
AC072062.3,0,2,0,3,0,0,1,0
AC073043.1,4,8,4,10,2,6,2,5
AC073046.25,10,12,4,9,3,7,6,12
AC073072.5,2,3,2,8,2,9,3,2
AC073115.6,1,2,1,3,1,1,2,0
AC073115.7,2,4,3,7,5,3,0,0
AC073128.10,2,1,0,0,1,1,2,1
AC073130.1,0,3,0,8,3,3,1,7
AC073130.3,1,2,0,2,0,2,1,3
AC073133.1,1,1,0,1,5,1,0,1
AC073218.2,2,3,0,3,1,0,8,5
AC073236.3,6,2,1,7,3,2,2,4
AC073254.1,6,9,3,13,9,2,4,7
AC073257.1,5,4,1,4,0,3,0,3
AC073283.4,1,3,1,1,4,0,2,0
AC073284.4,1,0,0,1,1,0,0,2
AC073316.1,1,0,1,0,0,2,0,1
AC073321.3,1,0,0,2,1,0,1,2
AC073333.8,0,1,0,7,1,1,1,1
AC073343.1,6,2,2,4,2,9,2,2
AC073343.13,3,0,0,4,3,0,1,4
AC073842.19,2,4,2,1,0,2,2,2
AC074091.13,4,2,0,2,3,1,2,3
AC074117.10,26,48,17,52,19,12,5,13
AC074138.3,1,13,3,22,8,3,1,9
AC074183.4,18,25,13,49,8,18,1,7
AC074212.3,4,4,0,2,0,1,0,3
AC074286.1,22,25,9,37,14,13,13,29
AC074289.1,66,184,59,68,67,53,33,72
AC074389.9,0,5,0,2,2,0,0,0
AC074391.1,11,6,0,9,5,0,5,8
AC078842.4,3,0,0,0,1,0,4,1
AC078852.2,1,3,0,1,1,3,0,0
AC078883.3,12,43,18,44,12,10,4,9
AC078883.4,2,4,9,36,3,6,3,1
AC078941.1,1,1,0,1,3,1,0,5
AC079210.1,7,25,13,33,8,10,16,10
AC079305.11,0,1,0,3,1,2,3,2
AC079354.1,14,14,2,18,7,3,10,16
AC079354.2,5,1,1,5,2,1,4,2
AC079354.3,5,12,3,9,7,2,4,18
AC079466.1,5,0,0,3,3,1,3,5
AC079586.1,2,0,0,2,1,0,0,2
AC079602.1,2,6,3,5,3,2,3,5
AC079610.2,2,2,0,0,2,0,0,1
AC079612.1,3,4,1,0,2,2,0,2
AC079630.2,4,0,0,0,1,1,0,6
AC079630.4,2,1,1,3,2,1,0,8
AC079767.4,4,5,7,23,4,1,0,4
AC079776.3,2,8,2,6,2,5,3,7
AC079779.4,2,10,9,16,8,7,1,3
AC079779.5,2,1,0,2,0,0,1,3
AC079779.6,0,2,0,1,1,0,0,1
AC079779.7,2,2,0,3,3,3,1,5
AC079807.2,9,12,1,6,1,3,3,5
AC079807.4,4,2,3,5,3,0,0,3
AC079922.3,29,54,23,108,24,22,12,20
AC079988.3,0,1,0,3,1,1,1,1
AC083843.1,8,13,8,49,3,8,5,20
AC083843.2,2,3,1,8,2,2,0,6
AC083843.3,2,1,1,0,0,2,2,0
AC083867.4,4,3,0,1,1,1,5,9
AC083884.8,4,8,2,14,2,3,8,2
AC083900.1,2,3,2,0,1,2,1,4
AC083949.1,0,5,2,7,2,1,3,3
AC084018.1,47,63,53,156,26,45,22,37
AC084082.3,2,3,1,2,1,1,0,3
AC084117.3,1,1,0,2,1,2,2,1
AC084125.4,2,2,1,2,3,0,0,0
AC084193.1,1,0,0,2,0,1,3,2
AC084219.3,4,9,2,14,4,5,3,7
AC084368.1,11,19,6,27,18,15,7,27
AC084809.2,4,2,1,3,0,0,0,0
AC084809.3,0,3,0,0,1,1,1,1
AC087073.1,1,0,0,3,0,0,0,3
AC087294.2,6,4,1,6,4,1,0,6
AC087430.1,1,5,1,2,0,3,3,8
AC087491.2,1,2,0,1,4,1,1,1
AC087501.1,1,2,0,1,1,0,1,0
AC090044.1,1,2,1,1,8,1,0,5
AC090286.4,1,1,0,1,1,1,1,1
AC090505.4,9,4,0,1,0,0,2,3
AC090505.6,4,3,0,6,3,3,8,6
AC090587.2,7,17,10,11,8,9,5,16
AC090587.5,1,0,2,1,1,1,0,2
AC090616.2,1,3,2,2,3,5,1,6
AC090627.1,21,17,12,46,4,20,18,14
AC091132.1,0,1,1,4,1,2,1,1
AC091150.1,0,1,0,1,0,0,1,3
AC091153.4,2,0,1,0,0,2,0,1
AC091633.3,3,0,3,6,1,1,0,3
AC091729.7,2,2,0,2,0,0,0,1
AC091729.9,18,31,15,22,40,7,6,17
AC091801.1,7,7,0,1,3,1,2,6
AC091814.2,15,39,1,2,21,0,1,3
AC091814.3,9,13,3,8,8,12,5,12
AC091878.1,1,5,1,5,1,0,1,8
AC091969.1,1,1,0,2,0,1,1,2
AC092071.1,2,3,1,3,2,2,1,4
AC092159.2,4,2,0,3,0,1,1,1
AC092162.1,5,3,1,7,4,1,5,6
AC092171.2,2,8,1,15,0,1,3,5
AC092171.4,6,31,8,72,14,14,16,19
AC092287.1,3,1,2,1,0,1,1,1
AC092295.7,9,20,10,29,12,9,1,14
AC092301.3,6,2,0,5,2,2,0,1
AC092316.1,1,4,2,3,1,2,3,1
AC092415.1,2,1,0,0,1,2,0,0
AC092535.3,7,1,2,5,2,2,2,6
AC092574.2,0,1,0,0,1,2,1,0
AC092580.4,54,100,27,295,42,79,39,15
AC092594.1,4,3,2,5,5,1,4,3
AC092597.3,0,3,1,1,0,0,0,2
AC092620.2,11,25,4,16,2,5,7,15
AC092620.3,4,5,1,4,3,1,4,5
AC092652.1,18,13,8,36,2,7,14,16
AC092661.1,1,3,0,3,0,0,0,2
AC092667.2,2,1,3,2,1,1,0,1
AC092669.3,2,2,0,2,1,0,1,1
AC092675.3,2,3,0,4,0,2,3,2
AC092811.1,14,8,8,9,7,1,2,2
AC092835.2,8,34,6,22,13,8,2,8
AC092839.4,1,1,0,0,0,1,1,2
AC092850.1,1,0,0,1,2,0,0,1
AC092964.2,2,1,0,4,4,1,1,4
AC093063.3,0,1,1,4,1,0,0,0
AC093110.3,2,1,4,6,2,6,2,1
AC093157.1,1,8,2,11,3,3,2,3
AC093323.3,72,145,39,255,79,90,50,53
AC093375.1,0,0,0,1,4,2,0,1
AC093381.2,2,0,0,2,0,2,1,1
AC093388.3,4,3,1,9,3,2,2,0
AC093390.1,5,1,2,1,0,2,1,3
AC093391.2,14,21,4,23,19,6,6,15
AC093415.2,17,17,2,15,8,7,8,11
AC093484.4,0,1,0,3,0,3,2,2
AC093495.4,8,12,2,11,1,0,3,6
AC093590.1,0,3,0,2,4,1,1,8
AC093609.1,12,10,3,10,2,6,1,2
AC093627.10,70,135,17,89,58,43,51,52
AC093627.9,6,16,4,21,1,11,2,3
AC093642.3,8,5,8,13,2,5,9,4
AC093642.4,4,4,7,26,4,3,3,0
AC093673.5,101,239,33,209,77,51,45,152
AC093677.1,0,3,1,2,1,0,0,2
AC093690.1,9,9,9,14,1,5,3,6
AC093732.1,0,0,0,2,1,1,2,0
AC093802.1,6,5,5,3,6,0,4,5
AC093818.1,14,59,24,91,36,17,13,22
AC093822.1,1,1,2,5,0,0,2,1
AC093901.1,1,1,1,5,2,3,0,2
AC095067.1,0,1,1,2,2,1,0,6
AC096558.1,8,8,9,24,5,7,7,3
AC096559.1,1,4,0,5,2,1,2,2
AC096574.4,5,11,1,18,6,8,3,7
AC096574.5,2,7,1,3,7,1,1,4
AC096579.13,2,10,7,11,11,0,0,2
AC096579.7,23,170,38,155,123,27,14,23
AC096669.3,0,2,3,2,5,0,2,5
AC096670.3,2,3,3,6,1,2,0,3
AC096677.1,4,10,1,10,2,7,0,6
AC096772.6,37,47,12,60,28,15,20,23
AC097382.5,4,1,0,10,0,1,3,0
AC097461.4,6,2,4,2,2,1,2,5
AC097467.2,1,4,1,3,3,3,5,8
AC097468.4,2,2,0,2,0,1,0,2
AC097468.7,0,3,0,1,0,1,1,2
AC097495.2,11,17,3,19,4,5,1,6
AC097495.3,4,7,5,20,0,5,4,5
AC097500.2,2,10,3,4,5,6,3,6
AC097662.2,5,7,6,8,11,7,4,7
AC097713.4,4,2,2,8,0,1,3,2
AC097721.2,0,3,0,1,0,0,1,3
AC097724.3,3,5,1,3,3,1,0,5
AC098617.1,2,4,0,3,3,1,3,4
AC098820.3,1,1,0,4,1,2,2,0
AC098820.4,4,2,1,0,0,1,2,3
AC098823.3,10,3,2,8,4,4,2,16
AC098828.2,0,2,2,0,0,2,0,1
AC098973.1,5,6,3,3,0,3,4,7
AC099684.1,0,0,0,2,5,0,1,1
AC099850.1,3,14,1,9,5,4,1,6
AC100830.3,8,4,1,9,4,2,4,11
AC100830.5,0,2,1,0,2,1,2,1
AC103563.8,0,5,2,9,0,0,4,0
AC103563.9,1,0,2,6,0,0,0,0
AC103828.1,0,1,0,2,0,1,0,0
AC104024.1,7,17,4,33,27,5,5,10
AC104134.2,4,1,0,6,0,0,3,2
AC104135.2,2,1,1,3,3,1,2,4
AC104135.3,44,60,17,10,83,39,23,87
AC104135.4,2,3,6,6,2,1,1,2
AC104389.28,2,2,2,3,2,0,1,1
AC104472.1,1,4,0,5,2,1,4,4
AC104534.2,2,6,0,2,2,0,2,2
AC104623.2,1,1,0,2,2,0,0,1
AC104653.1,3,11,8,14,8,13,8,10
AC104655.3,2,1,1,4,1,2,0,2
AC104667.3,2,4,0,4,0,1,4,7
AC104695.3,6,10,3,8,4,4,3,7
AC104699.1,4,10,2,7,12,0,2,0
AC104777.2,0,1,0,1,0,0,1,1
AC104809.2,2,3,0,2,1,0,1,1
AC104809.3,2,0,0,5,4,0,0,5
AC104809.4,1,4,0,1,3,0,0,121
AC104820.2,22,28,19,90,27,19,15,6
AC105020.1,3,3,0,2,1,2,3,5
AC105053.3,1,5,0,2,0,0,0,3
AC105053.4,4,5,1,3,4,4,2,1
AC105253.1,5,2,3,5,5,2,3,6
AC105339.1,1,5,0,6,1,1,3,3
AC105402.4,2,5,2,5,2,0,6,9
AC105760.2,6,10,2,16,6,4,5,5
AC105760.3,4,2,0,1,2,2,2,2
AC106801.1,6,7,2,9,2,3,3,2
AC106870.2,2,0,0,3,0,0,2,0
AC106873.4,3,3,4,3,1,3,0,3
AC106900.6,5,0,0,2,0,0,0,1
AC107070.1,6,6,0,5,3,0,1,5
AC107079.1,3,0,1,4,0,0,0,0
AC107081.5,2,3,1,7,0,2,0,1
AC107622.1,1,1,1,6,1,0,3,0
AC108004.2,1,2,0,4,1,0,0,1
AC108004.3,1,2,0,1,1,2,0,2
AC108025.2,0,2,0,4,0,2,1,1
AC108066.1,1,1,0,1,1,0,1,1
AC108142.1,3,11,1,9,5,3,4,17
AC108488.4,2,5,2,12,2,7,1,5
AC108676.1,10,12,1,12,10,5,1,13
AC109135.1,5,2,0,3,4,2,1,2
AC109333.10,1,4,3,7,5,3,2,1
AC109642.1,7,7,2,6,2,1,3,8
AC109826.1,19,27,16,65,15,31,16,6
AC109828.1,1,5,3,6,4,2,4,6
AC109829.1,0,5,1,3,0,0,1,1
AC110619.2,0,0,0,1,1,1,0,0
AC110769.3,1,5,2,3,2,1,2,3
AC110781.3,2,5,1,1,5,3,1,2
AC112693.2,7,8,1,8,2,0,6,7
AC112721.2,0,0,0,2,0,2,1,0
AC113167.1,1,0,1,1,0,0,0,2
AC113189.5,4,12,2,5,3,8,0,4
AC114730.11,0,2,0,0,0,1,0,0
AC114730.2,2,0,0,3,1,1,0,3
AC114730.3,2,2,2,1,0,2,1,3
AC114763.1,0,2,0,2,0,1,1,3
AC114776.3,1,1,1,6,3,1,3,4
AC114788.2,4,1,0,4,2,0,0,1
AC115618.1,12,24,3,15,14,9,9,15
AC116035.1,0,0,0,1,0,1,3,2
AC116351.2,4,2,0,3,2,0,1,4
AC116366.5,2,6,3,8,5,3,1,3
AC116366.6,54,62,56,119,38,31,19,93
AC116407.2,2,2,0,1,1,1,3,1
AC116614.1,0,2,0,11,0,2,0,0
AC117395.1,5,3,2,3,2,3,2,3
AC123768.4,13,11,8,21,4,10,2,11
AC124890.1,2,8,3,4,1,2,0,2
AC124944.3,4,1,1,3,1,0,0,1
AC124944.5,1,0,1,2,0,0,0,1
AC124997.1,1,1,0,1,1,0,3,5
AC125421.1,0,2,1,6,0,1,2,3
AC126614.1,2,0,0,4,1,0,1,2
AC127496.1,4,13,2,29,6,5,6,4
AC127904.2,16,20,12,52,1,9,8,19
AC128709.3,3,0,0,0,0,3,0,3
AC129492.6,0,5,0,1,2,2,0,0
AC130469.2,4,3,3,6,0,0,1,1
AC130710.1,3,1,0,4,1,0,1,3
AC131025.8,13,8,2,5,9,5,6,10
AC131056.3,5,6,0,0,0,1,0,0
AC131056.5,1,2,1,0,0,2,0,0
AC131097.3,0,5,2,5,0,1,4,2
AC131971.1,15,20,17,23,10,6,10,6
AC132192.1,0,4,1,5,4,4,1,1
AC132872.2,66,44,42,91,5,19,16,63
AC133106.2,1,3,0,3,1,0,3,4
AC133528.2,27,57,17,72,29,22,10,15
AC133785.1,2,4,0,6,3,1,2,6
AC134300.1,1,1,1,2,0,0,2,0
AC135048.13,6,10,5,6,2,0,0,3
AC135050.5,4,6,1,4,2,1,0,2
AC135178.1,6,8,7,35,11,11,6,15
AC135983.2,7,14,4,11,11,11,4,11
AC136896.1,0,3,0,1,1,0,3,4
AC137056.1,4,3,0,3,2,1,3,4
AC137932.1,26,27,10,59,9,15,8,20
AC137932.5,7,3,3,7,0,0,1,0
AC137932.6,10,9,3,30,6,7,1,11
AC137934.1,8,14,4,19,11,3,7,8
AC138035.2,16,37,9,34,10,20,28,34
AC138517.1,1,1,1,2,0,1,0,0
AC138655.1,5,3,0,2,4,1,2,2
AC138655.6,3,2,1,7,0,1,2,5
AC139099.5,3,0,1,4,1,0,3,5
AC139100.2,7,9,1,21,12,5,7,13
AC139100.3,1,0,1,0,1,3,0,3
AC140481.2,4,6,4,3,3,5,1,3
AC140481.8,1,2,0,1,1,0,0,2
AC140912.1,4,2,1,3,1,3,1,7
AC141928.1,5,1,0,1,2,0,1,2
AC142381.1,4,35,12,18,43,4,3,1
AC142528.1,4,4,2,7,1,4,0,0
AC144450.2,0,3,0,3,2,1,1,5
AC144521.1,26,46,35,193,44,51,16,19
AC144568.2,0,2,0,2,1,1,0,1
AC144573.1,1,1,3,0,3,1,0,1
AC144652.1,36,60,13,129,33,52,25,63
AC144831.1,2,15,1,8,5,4,3,11
AC144833.1,2,2,1,1,5,2,1,6
AC144836.1,0,0,0,1,0,0,1,1
AC145110.1,4,3,3,2,7,4,1,4
AC145205.1,0,0,0,4,1,1,0,3
AC145212.1,1,14,6,47,8,5,7,3
AC145343.2,1,2,0,2,0,2,1,1
AC145676.2,1,2,0,2,0,0,3,1
AC147651.3,11,8,4,29,16,34,3,20
AC147651.4,74,102,29,99,61,48,33,44
AC156455.1,2,3,2,5,3,2,3,6
AC159540.1,55,66,85,156,39,69,29,21
AC159540.2,7,12,3,10,0,1,0,3
AC187652.1,1,6,0,0,1,0,0,1
AC195454.1,9,6,2,7,3,2,3,11
AC226118.1,0,0,1,5,3,4,2,3
AC226119.5,1,2,0,4,2,2,1,0
AC226150.4,1,8,3,29,6,3,2,3
ACA64,0,2,0,0,0,1,0,2
ACAA1,197,313,73,283,189,157,139,261
ACAA2,445,779,234,1042,496,333,265,361
ACACA,167,336,73,339,300,205,121,211
ACACB,54,103,63,160,75,87,30,44
ACAD10,104,248,65,240,117,84,63,141
ACAD11,1,0,1,1,0,0,1,1
ACAD8,133,243,80,324,175,109,89,107
ACAD9,143,279,81,369,213,138,88,162
ACADL,4,6,0,8,3,1,1,13
ACADM,268,887,173,997,642,334,151,285
ACADS,79,138,30,154,77,66,54,66
ACADSB,132,372,112,430,162,161,96,173
ACADVL,1844,3515,882,2788,2456,1519,759,1487
ACAN,13,6,2,19,5,3,6,15
ACAP1,716,1550,715,2916,957,878,703,538
ACAP2,1730,3072,651,3614,1270,1265,874,1778
ACAP2-IT1,11,9,6,19,2,7,6,6
ACAP3,141,258,68,249,177,100,60,179
ACAT1,198,573,124,833,439,214,170,203
ACAT2,80,98,28,149,142,92,54,80
ACBD3,487,1373,284,1448,849,511,283,419
ACBD4,28,60,17,85,41,43,20,40
ACBD5,368,636,195,908,352,304,211,314
ACBD6,238,360,159,584,273,165,119,283
ACBD7,3,7,3,5,4,1,1,0
ACCS,130,219,38,80,120,30,18,70
ACCSL,0,2,1,1,1,0,0,0
ACD,97,196,63,272,138,93,38,59
ACE,6,15,8,26,12,11,13,10
ACE2,1,0,1,2,5,0,1,3
ACER1,2,2,2,12,0,2,3,3
ACER2,9,5,3,10,8,10,2,1
ACER3,399,733,163,753,287,297,325,641
ACHE,1,1,0,1,1,2,5,1
ACIN1,1618,3238,995,4725,1876,1541,979,1095
ACKR2,17,8,1,15,7,11,3,11
ACKR3,1,10,3,9,6,9,2,1
ACKR4,5,5,2,5,3,1,1,3
ACLY,852,1579,391,1629,1235,814,521,638
ACMSD,2,0,3,4,2,0,2,1
ACN9,52,143,53,239,74,68,30,40
ACO1,84,204,53,243,92,99,47,151
ACO2,198,300,93,324,417,191,97,157
ACOT1,74,87,31,105,64,35,32,38
ACOT11,7,8,8,18,8,16,6,14
ACOT12,0,2,0,2,1,0,1,1
ACOT13,93,197,44,262,150,119,62,96
ACOT2,34,60,23,85,29,22,19,20
ACOT4,24,24,8,52,24,7,6,21
ACOT7,61,73,42,354,108,65,29,32
ACOT8,73,138,35,183,126,48,51,109
ACOT9,372,582,105,519,339,250,223,465
ACOX1,266,857,180,765,486,294,290,419
ACOX2,18,25,8,20,16,12,9,23
ACOX3,71,150,35,106,112,73,47,105
ACOXL,5,43,5,40,39,5,11,12
ACP1,442,969,297,1423,709,469,339,423
ACP2,161,276,45,200,172,92,86,116
ACP5,50,87,34,162,104,47,38,40
ACP6,31,56,26,56,35,45,17,30
ACPL2,76,141,33,186,67,77,30,49
ACPP,239,366,52,235,132,115,226,270
ACPT,1,1,0,0,1,1,0,2
ACRBP,155,140,49,346,110,290,10,209
ACRC,40,73,32,126,29,27,15,14
ACRV1,8,8,5,17,3,3,1,7
ACSBG1,14,14,6,14,6,4,5,14
ACSBG2,4,3,3,3,3,3,3,3
ACSF2,63,105,29,98,82,52,21,88
ACSF3,278,511,169,674,293,251,123,233
ACSL1,1630,2770,329,1242,1211,1452,1439,2620
ACSL3,408,786,159,1000,524,336,278,370
ACSL4,880,1790,282,1665,1118,671,557,890
ACSL5,429,738,212,965,540,407,202,344
ACSL6,39,141,65,538,77,68,112,35
ACSM1,5,5,0,8,3,5,4,6
ACSM2A,4,8,2,11,7,3,8,11
ACSM2B,11,11,3,11,9,3,5,10
ACSM3,11,20,9,53,18,11,29,16
ACSM4,2,2,0,2,3,1,1,2
ACSM5,6,7,1,6,2,5,1,5
ACSS1,309,667,169,718,544,248,141,256
ACSS2,192,287,51,229,167,145,110,302
ACSS3,1,6,2,3,3,2,3,3
ACTA1,255,441,92,303,193,252,159,232
ACTA2,27,54,5,65,23,13,12,15
ACTA2-AS1,4,7,6,20,4,13,5,4
ACTB,15527,27080,6255,31651,19034,16038,12188,23925
ACTBL2,3,1,1,1,2,1,0,1
ACTC1,2,2,0,2,4,4,3,2
ACTG1,6627,19098,3374,23992,12600,10119,6996,13215
ACTG2,4,4,1,3,9,5,6,7
ACTL10,15,32,4,33,22,19,4,3
ACTL6A,114,388,75,564,376,202,117,122
ACTL6B,0,2,1,1,2,1,2,1
ACTL7A,0,0,0,1,2,1,1,0
ACTL7B,1,3,1,1,5,0,2,4
ACTN1,709,1460,327,1852,687,697,542,926
ACTN1-AS1,0,0,1,4,2,1,0,1
ACTN2,4,7,3,3,6,0,1,9
ACTN4,1329,2024,436,2385,1343,1085,705,879
ACTR10,257,459,121,611,304,216,155,291
ACTR1A,524,1136,189,1250,769,449,379,560
ACTR1B,266,602,173,756,425,242,168,338
ACTR2,4817,10263,2216,11945,4797,4266,3854,7253
ACTR3,2827,6674,1497,8937,4071,3325,2282,3702
ACTR3B,34,42,16,82,24,35,17,35
ACTR3C,18,18,15,41,17,12,10,14
ACTR5,93,177,63,242,103,82,38,58
ACTR6,141,330,86,573,168,163,88,127
ACTR8,166,377,85,463,288,176,108,165
ACTRT3,1,0,0,2,4,3,1,0
ACVR1,104,224,42,237,136,124,83,118
ACVR1B,140,303,45,139,106,96,85,161
ACVR1C,13,44,30,144,17,18,12,15
ACVR2A,79,90,59,150,56,76,55,81
ACVR2B,59,121,47,183,39,65,37,43
ACVR2B-AS1,4,8,2,9,1,2,2,2
ACVRL1,68,102,3,49,35,84,54,46
ACY1,6,2,1,8,6,7,1,0
ACY3,4,7,1,9,4,8,1,2
ACYP1,71,132,52,254,88,74,31,55
ACYP2,52,151,43,197,110,53,18,77
AD000090.2,46,70,37,110,51,28,17,28
AD000091.2,0,1,1,1,1,0,1,1
AD000684.2,17,10,8,16,1,6,5,7
AD001527.7,6,13,3,14,1,0,2,4
ADA,283,516,124,700,536,339,135,166
ADAD1,0,0,2,2,2,0,1,1
ADAL,46,92,21,171,73,35,26,55
ADAM10,2011,3902,877,3453,1966,1392,1262,1630
ADAM11,0,1,1,1,2,2,1,2
ADAM12,27,41,5,25,17,11,13,19
ADAM15,143,252,51,298,159,196,111,160
ADAM17,433,681,142,685,442,261,234,343
ADAM18,2,2,0,3,2,1,2,7
ADAM19,425,1360,319,1029,1488,696,296,393
ADAM2,1,1,1,0,1,0,0,2
ADAM20,3,3,1,4,2,3,1,1
ADAM20P1,4,6,3,21,2,7,1,4
ADAM21,3,1,1,4,3,0,0,0
ADAM22,23,52,22,97,20,20,19,17
ADAM23,13,43,6,22,5,6,7,9
ADAM28,150,272,261,313,143,93,65,229
ADAM29,3,9,3,10,1,3,3,7
ADAM30,0,3,0,1,2,0,2,2
ADAM32,5,14,3,18,7,2,9,12
ADAM33,2,2,2,1,1,1,1,2
ADAM6,2,1,0,0,2,1,0,0
ADAM7,2,1,2,1,1,1,3,8
ADAM8,881,1102,231,1169,519,279,286,569
ADAM9,391,645,81,324,319,258,272,445
ADAMDEC1,10,11,4,5,3,0,11,15
ADAMTS1,29,71,12,50,53,106,19,24
ADAMTS10,43,39,29,81,27,16,7,14
ADAMTS12,7,7,1,5,4,3,3,10
ADAMTS13,4,10,5,15,8,6,0,5
ADAMTS14,4,0,1,4,5,0,7,4
ADAMTS15,4,0,0,0,2,1,0,3
ADAMTS16,1,3,0,3,2,1,1,4
ADAMTS17,2,5,3,15,10,0,6,8
ADAMTS18,12,9,2,5,8,1,5,14
ADAMTS19,2,1,2,4,1,1,3,4
ADAMTS2,120,375,24,28,22,21,2,4
ADAMTS20,2,1,1,1,2,1,2,7
ADAMTS3,4,3,0,16,1,0,3,6
ADAMTS4,25,30,15,36,23,18,17,26
ADAMTS5,5,5,1,5,2,4,4,23
ADAMTS6,28,29,9,43,32,10,9,12
ADAMTS7,0,1,0,2,4,0,1,0
ADAMTS8,3,2,1,3,6,1,2,14
ADAMTS9,7,12,2,12,6,3,5,10
ADAMTS9-AS1,5,2,1,5,0,4,1,5
ADAMTS9-AS2,12,11,5,8,9,5,11,18
ADAMTSL1,9,13,0,9,5,3,4,8
ADAMTSL2,2,1,1,3,1,0,0,3
ADAMTSL3,8,6,1,10,3,8,3,9
ADAMTSL4,212,261,24,126,120,115,56,266
ADAMTSL4-AS1,5,5,4,12,3,1,3,11
ADAMTSL5,14,18,3,27,7,2,8,3
ADAP1,173,348,55,319,109,111,83,307
ADAP2,402,570,74,539,222,156,248,640
ADAR,7055,8693,1903,8319,7437,6782,3871,4001
ADARB1,249,439,178,551,196,282,145,176
ADARB2,1,1,4,3,8,3,3,4
ADARB2-AS1,2,1,0,3,0,1,1,3
ADAT1,149,267,80,307,166,166,99,103
ADAT2,52,99,68,194,64,65,68,62
ADAT3,3,6,0,10,3,6,1,3
ADC,10,12,7,22,9,11,6,5
ADCK1,26,41,15,36,41,14,15,22
ADCK2,95,128,44,251,79,57,43,99
ADCK3,140,306,86,345,184,132,81,163
ADCK4,37,85,16,67,44,30,18,39
ADCK5,34,89,21,113,49,52,20,41
ADCY1,12,2,7,16,11,3,6,25
ADCY10,11,4,3,5,3,1,5,12
ADCY2,18,14,5,25,14,5,15,34
ADCY3,38,97,38,232,144,142,92,35
ADCY4,21,36,5,23,14,21,9,13
ADCY5,0,2,2,5,3,3,2,3
ADCY6,4,9,1,12,12,1,7,12
ADCY7,335,360,104,396,291,270,110,228
ADCY8,3,1,2,1,2,1,1,1
ADCY9,114,168,29,154,64,71,30,85
